stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,20133,"Neosho County, Kansas",2,1.0,1.0
stateFP,state,current,39133,"Portage County, Ohio",16,0.17346668832301015,0.2348315031978231
stateFP,state,current,42091,"Montgomery County, Pennsylvania",13,0.4410092716388664,0.39520383244604707
stateFP,state,current,18073,"Jasper County, Indiana",4,1.0,1.0
stateFP,state,current,5027,"Columbia County, Arkansas",4,1.0,1.0
stateFP,state,current,6071,"San Bernardino County, California",8,0.2621165711608547,0.4583439167508167
stateFP,state,current,47089,"Jefferson County, Tennessee",1,0.1847963063893055,0.20950122747128044
stateFP,state,current,13201,"Miller County, Georgia",2,1.0,1.0
stateFP,state,current,31031,"Cherry County, Nebraska",3,1.0,1.0
stateFP,state,current,48007,"Aransas County, Texas",27,1.0,1.0
stateFP,state,current,42043,"Dauphin County, Pennsylvania",4,0.18948253862357584,0.07771924669841794
stateFP,state,current,39035,"Cuyahoga County, Ohio",9,0.18383918341749486,0.2450147139949305
stateFP,state,current,21097,"Harrison County, Kentucky",6,0.421566606115361,0.40035713365492165
stateFP,state,current,42085,"Mercer County, Pennsylvania",3,1.0,1.0
stateFP,state,current,21137,"Lincoln County, Kentucky",5,1.0,1.0
stateFP,state,current,51685,"Manassas Park city, Virginia",10,1.0,1.0
stateFP,state,current,1001,"Autauga County, Alabama",2,1.0,1.0
stateFP,state,current,28109,"Pearl River County, Mississippi",4,1.0,1.0
stateFP,state,current,51710,"Norfolk city, Virginia",2,0.32050432131974615,0.4158630409058578
stateFP,state,current,22125,"West Feliciana Parish, Louisiana",5,1.0,1.0
stateFP,state,current,21005,"Anderson County, Kentucky",6,1.0,1.0
stateFP,state,current,53071,"Walla Walla County, Washington",5,0.956663757167593,0.9441012791106517
stateFP,state,current,24005,"Baltimore County, Maryland",8,6.245816909899177e-06,5.987852903033426e-06
stateFP,state,current,29155,"Pemiscot County, Missouri",8,1.0,1.0
stateFP,state,current,29171,"Putnam County, Missouri",6,1.0,1.0
stateFP,state,current,34023,"Middlesex County, New Jersey",12,0.36906014848758817,0.4741146953719918
stateFP,state,current,16085,"Valley County, Idaho",1,1.0,1.0
stateFP,state,current,42091,"Montgomery County, Pennsylvania",2,0.08546043224280529,0.08383336933255925
stateFP,state,current,48043,"Brewster County, Texas",23,1.0,1.0
stateFP,state,current,6065,"Riverside County, California",31,1.3643403276410163e-05,4.632910926056159e-06
stateFP,state,current,37123,"Montgomery County, North Carolina",8,1.0,1.0
stateFP,state,current,12027,"DeSoto County, Florida",17,1.0,1.0
stateFP,state,current,42045,"Delaware County, Pennsylvania",2,1.3200786063798344e-05,5.103812806589702e-06
stateFP,state,current,48125,"Dickens County, Texas",13,1.0,1.0
stateFP,state,current,25019,"Nantucket County, Massachusetts",9,1.0,1.0
stateFP,state,current,48115,"Dawson County, Texas",11,1.0,1.0
stateFP,state,current,28069,"Kemper County, Mississippi",3,1.0,1.0
stateFP,state,current,22085,"Sabine Parish, Louisiana",4,1.0,1.0
stateFP,state,current,55017,"Chippewa County, Wisconsin",3,0.5935842687535128,0.5570238296797962
stateFP,state,current,22051,"Jefferson Parish, Louisiana",6,4.787162383016521e-06,3.4923105032583146e-06
stateFP,state,current,39035,"Cuyahoga County, Ohio",14,0.08890801922408055,0.11082535264113762
stateFP,state,current,17027,"Clinton County, Illinois",15,1.0,1.0
stateFP,state,current,42011,"Berks County, Pennsylvania",15,0.1500137044836336,0.15171015265622223
stateFP,state,current,12031,"Duval County, Florida",5,0.4611258351693739,0.3705207382709968
stateFP,state,current,17031,"Cook County, Illinois",7,0.13529465217504724,0.0855402251266389
stateFP,state,current,29107,"Lafayette County, Missouri",5,1.0,1.0
stateFP,state,current,36005,"Bronx County, New York",14,0.18077330936940827,0.2838588830129113
stateFP,state,current,4015,"Mohave County, Arizona",4,0.9846362335983837,0.997667375862951
stateFP,state,current,17149,"Pike County, Illinois",18,1.0,1.0
stateFP,state,current,8063,"Kit Carson County, Colorado",4,1.0,1.0
stateFP,state,current,20019,"Chautauqua County, Kansas",4,1.0,1.0
stateFP,state,current,48421,"Sherman County, Texas",13,1.0,1.0
stateFP,state,current,36107,"Tioga County, New York",22,0.232951562024092,0.22175228396877514
stateFP,state,current,48083,"Coleman County, Texas",11,1.0,1.0
stateFP,state,current,47175,"Van Buren County, Tennessee",4,0.8869579909562781,0.8922868183495833
stateFP,state,current,48001,"Anderson County, Texas",5,1.0,1.0
stateFP,state,current,22045,"Iberia Parish, Louisiana",3,1.0,1.0
