stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,48029,"Bexar County, Texas",15,3.2436080575321388e-06,5.487812091569394e-06
stateFP,state,current,31171,"Thomas County, Nebraska",3,1.0,1.0
stateFP,state,current,12067,"Lafayette County, Florida",2,1.0,1.0
stateFP,state,current,27069,"Kittson County, Minnesota",7,1.0,1.0
stateFP,state,current,18175,"Washington County, Indiana",9,1.0,1.0
stateFP,state,current,35051,"Sierra County, New Mexico",2,1.0,1.0
stateFP,state,current,24011,"Caroline County, Maryland",1,1.0,1.0
stateFP,state,current,35005,"Chaves County, New Mexico",2,1.0,1.0
stateFP,state,current,17141,"Ogle County, Illinois",16,1.0,1.0
stateFP,state,current,6111,"Ventura County, California",25,0.1492670710307552,0.13665165764285075
stateFP,state,current,27035,"Crow Wing County, Minnesota",8,1.0,1.0
stateFP,state,current,6059,"Orange County, California",47,0.14361252955302334,0.054741456335664095
stateFP,state,current,8059,"Jefferson County, Colorado",2,0.13012111403724036,0.17692121625008594
stateFP,state,current,48023,"Baylor County, Texas",13,1.0,1.0
stateFP,state,current,13319,"Wilkinson County, Georgia",8,1.0,1.0
stateFP,state,current,31111,"Lincoln County, Nebraska",3,1.0,1.0
stateFP,state,current,40065,"Jackson County, Oklahoma",3,1.0,1.0
stateFP,state,current,8013,"Boulder County, Colorado",2,0.747417454659103,0.7171386459713804
stateFP,state,current,20167,"Russell County, Kansas",1,1.0,1.0
stateFP,state,current,22041,"Franklin Parish, Louisiana",5,1.0,1.0
stateFP,state,current,6077,"San Joaquin County, California",10,0.20749890304881197,0.3254513691955489
stateFP,state,current,41005,"Clackamas County, Oregon",5,0.7572004646912056,0.7396434277951817
stateFP,state,current,48493,"Wilson County, Texas",28,0.8918801091422549,0.8856069441127802
stateFP,state,current,31037,"Colfax County, Nebraska",1,1.0,1.0
stateFP,state,current,36121,"Wyoming County, New York",27,1.0,1.0
stateFP,state,current,51097,"King and Queen County, Virginia",1,1.0,1.0
stateFP,state,current,51171,"Shenandoah County, Virginia",6,1.0,1.0
stateFP,state,current,41017,"Deschutes County, Oregon",2,1.0,1.0
stateFP,state,current,20133,"Neosho County, Kansas",2,1.0,1.0
stateFP,state,current,39133,"Portage County, Ohio",16,0.17989113847306026,0.2181128876887239
stateFP,state,current,42091,"Montgomery County, Pennsylvania",13,0.4583017291579306,0.3922225032486574
stateFP,state,current,18073,"Jasper County, Indiana",4,1.0,1.0
stateFP,state,current,5027,"Columbia County, Arkansas",4,1.0,1.0
stateFP,state,current,6071,"San Bernardino County, California",8,0.2659763262277802,0.4559794390109616
stateFP,state,current,47089,"Jefferson County, Tennessee",1,0.20084760236581195,0.20242174782936181
stateFP,state,current,13201,"Miller County, Georgia",2,1.0,1.0
stateFP,state,current,31031,"Cherry County, Nebraska",3,1.0,1.0
stateFP,state,current,48007,"Aransas County, Texas",27,1.0,1.0
stateFP,state,current,42043,"Dauphin County, Pennsylvania",4,0.20729978062596233,0.07077965221193078
stateFP,state,current,39035,"Cuyahoga County, Ohio",9,0.19524925492303077,0.24164348475317046
