State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
FL,2016,MajMin,27,156123.46910628615,99434.44833255107,Democrat
FL,2016,Proportional,1,106599.006285046,255710.7084403058,Republican
FL,2016,Proportional,2,104080.6599120208,223314.10708827054,Republican
FL,2016,Proportional,3,143437.4528962966,199564.34191478597,Republican
FL,2016,Proportional,4,149347.9920254994,234377.18519870756,Republican
FL,2016,Proportional,5,186215.75502000176,145015.06417797264,Democrat
FL,2016,Proportional,6,151545.07601264352,215904.10083924493,Republican
FL,2016,Proportional,7,173576.32732165343,160717.3800953565,Democrat
FL,2016,Proportional,8,156564.50972633643,235963.58026461062,Republican
FL,2016,Proportional,9,179855.72654126293,146218.39641665336,Democrat
FL,2016,Proportional,10,211138.78561378294,110332.75723074345,Democrat
FL,2016,Proportional,11,134990.10906942195,266873.0010604816,Republican
FL,2016,Proportional,12,145230.56681448914,207213.31978032165,Republican
FL,2016,Proportional,13,180989.67968978832,176371.01813885375,Democrat
FL,2016,Proportional,14,180981.8852845348,147182.49178960768,Democrat
FL,2016,Proportional,15,154004.4012804093,171815.53747116093,Republican
FL,2016,Proportional,16,162872.93534867797,206543.9559232879,Republican
FL,2016,Proportional,17,131876.95084348982,215875.93977510402,Republican
FL,2016,Proportional,18,166269.77580576815,180434.82842181332,Republican
FL,2016,Proportional,19,138204.18889841577,219348.05645549446,Republican
FL,2016,Proportional,20,254348.18362319906,97170.23042887922,Democrat
FL,2016,Proportional,21,191674.772492314,144408.77125076513,Democrat
FL,2016,Proportional,22,190094.67049932797,118469.27054571669,Democrat
FL,2016,Proportional,23,201969.06747004398,110729.71643949398,Democrat
FL,2016,Proportional,24,214184.95969848035,73798.46977394614,Democrat
FL,2016,Proportional,25,147846.60478910565,134301.8512736038,Democrat
FL,2016,Proportional,26,170206.75173759187,107812.10417212368,Democrat
FL,2016,Proportional,27,157638.20530039785,100048.81563269439,Democrat
FL,2016,algorithmic-compact,1,106599.006285046,255710.7084403058,Republican
FL,2016,algorithmic-compact,2,104080.6599120208,223314.10708827054,Republican
FL,2016,algorithmic-compact,3,143437.4528962966,199564.34191478597,Republican
FL,2016,algorithmic-compact,4,149347.9920254994,234377.18519870756,Republican
FL,2016,algorithmic-compact,5,186215.75502000176,145015.06417797264,Democrat
FL,2016,algorithmic-compact,6,151545.07601264352,215904.10083924493,Republican
FL,2016,algorithmic-compact,7,173576.32732165343,160717.3800953565,Democrat
FL,2016,algorithmic-compact,8,156564.50972633643,235963.58026461062,Republican
FL,2016,algorithmic-compact,9,179855.72654126293,146218.39641665336,Democrat
FL,2016,algorithmic-compact,10,211138.78561378294,110332.75723074345,Democrat
FL,2016,algorithmic-compact,11,134990.10906942195,266873.0010604816,Republican
FL,2016,algorithmic-compact,12,145230.56681448914,207213.31978032165,Republican
FL,2016,algorithmic-compact,13,180989.67968978832,176371.01813885375,Democrat
FL,2016,algorithmic-compact,14,180981.8852845348,147182.49178960768,Democrat
FL,2016,algorithmic-compact,15,154004.4012804093,171815.53747116093,Republican
FL,2016,algorithmic-compact,16,162872.93534867797,206543.9559232879,Republican
FL,2016,algorithmic-compact,17,131876.95084348982,215875.93977510402,Republican
FL,2016,algorithmic-compact,18,166269.77580576815,180434.82842181332,Republican
FL,2016,algorithmic-compact,19,138204.18889841577,219348.05645549446,Republican
FL,2016,algorithmic-compact,20,254348.18362319906,97170.23042887922,Democrat
FL,2016,algorithmic-compact,21,191674.772492314,144408.77125076513,Democrat
FL,2016,algorithmic-compact,22,190094.67049932797,118469.27054571669,Democrat
FL,2016,algorithmic-compact,23,201969.06747004398,110729.71643949398,Democrat
FL,2016,algorithmic-compact,24,214184.95969848035,73798.46977394614,Democrat
FL,2016,algorithmic-compact,25,147846.60478910565,134301.8512736038,Democrat
FL,2016,algorithmic-compact,26,170206.75173759187,107812.10417212368,Democrat
FL,2016,algorithmic-compact,27,157638.20530039785,100048.81563269439,Democrat
FL,2016,current,1,106599.006285046,255710.7084403058,Republican
FL,2016,current,2,104080.6599120208,223314.10708827054,Republican
FL,2016,current,3,143437.4528962966,199564.34191478597,Republican
FL,2016,current,4,149347.9920254994,234377.18519870756,Republican
FL,2016,current,5,186215.75502000176,145015.06417797264,Democrat
FL,2016,current,6,151545.07601264352,215904.10083924493,Republican
FL,2016,current,7,173576.32732165343,160717.3800953565,Democrat
FL,2016,current,8,156564.50972633643,235963.58026461062,Republican
FL,2016,current,9,179855.72654126293,146218.39641665336,Democrat
FL,2016,current,10,211138.78561378294,110332.75723074345,Democrat
FL,2016,current,11,134990.10906942195,266873.0010604816,Republican
FL,2016,current,12,145230.56681448914,207213.31978032165,Republican
FL,2016,current,13,180989.67968978832,176371.01813885375,Democrat
FL,2016,current,14,180981.8852845348,147182.49178960768,Democrat
FL,2016,current,15,154004.4012804093,171815.53747116093,Republican
FL,2016,current,16,162872.93534867797,206543.9559232879,Republican
FL,2016,current,17,131876.95084348982,215875.93977510402,Republican
FL,2016,current,18,166269.77580576815,180434.82842181332,Republican
FL,2016,current,19,138204.18889841577,219348.05645549446,Republican
FL,2016,current,20,254348.18362319906,97170.23042887922,Democrat
FL,2016,current,21,191674.772492314,144408.77125076513,Democrat
FL,2016,current,22,190094.67049932797,118469.27054571669,Democrat
FL,2016,current,23,201969.06747004398,110729.71643949398,Democrat
FL,2016,current,24,214184.95969848035,73798.46977394614,Democrat
FL,2016,current,25,147846.60478910565,134301.8512736038,Democrat
FL,2016,current,26,170206.75173759187,107812.10417212368,Democrat
FL,2016,current,27,157638.20530039785,100048.81563269439,Democrat
GA,2016,Compact,1,107735.6912160163,151601.51972286048,Republican
GA,2016,Compact,2,97199.55498104134,147318.80093695153,Republican
