State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
CT,2016,current,5,182543.9927949111,125746.62344449128,Democrat
CT,2018,current,1,181496.4790173291,96664.12197054467,Democrat
CT,2018,current,2,168325.2425546071,101065.0648471456,Democrat
CT,2018,current,3,171806.25435518302,101079.212185159,Democrat
CT,2018,current,4,165239.12878172536,104729.28686603838,Democrat
CT,2018,current,5,154293.89529115567,115263.3141311123,Democrat
DE,2016,current,1,233554,172301,Democrat
DE,2018,current,1,227353,125384,Democrat
FL,2016,current,1,114010.23075255068,255111.65079636022,Republican
FL,2016,current,2,103042.22591136611,216203.85816923215,Republican
FL,2016,current,3,138821.4200888481,197261.8055935288,Republican
FL,2016,current,4,130091.625493186,252473.6182878082,Republican
FL,2016,current,5,177434.25327132957,153311.2046237415,Democrat
FL,2016,current,6,148491.09434541911,216111.05208104115,Republican
FL,2016,current,7,169624.44763499167,167968.27488124397,Democrat
