state_id,fips,name,county_dem_result,county_rep_result
OK,40017,Canadian,12630,32505
OK,40019,Carter,3608,9918
OK,40027,Cleveland,37709,50275
OK,40031,Comanche,9135,15774
OK,40033,Cotton,378,1540
OK,40049,Garvin,1832,5786
OK,40051,Grady,3779,12671
OK,40067,Jefferson,303,1221
OK,40085,Love,692,2014
OK,40087,McClain,3161,10100
OK,40099,Murray,970,3239
OK,40109,Oklahoma,118899,112177
OK,40123,Pontotoc,3352,8102
OK,40137,Stephens,2783,10541
OK,40141,Tillman,474,1563
GA,13047,Catoosa,4473,18901
GA,13055,Chattooga,1482,5799
GA,13083,Dade,883,4448
GA,13115,Floyd,7993,21776
GA,13129,Gordon,3128,14313
GA,13143,Haralson,1241,9164
GA,13213,Murray,1579,9313
GA,13223,Paulding,19394,40982
GA,13227,Pickens,1911,11217
GA,13233,Polk,2553,10075
GA,13295,Walker,3847,17298
GA,13313,Whitfield,6909,19807
NC,37007,Anson,4586,3266
NC,37051,Cumberland,55104,37880
NC,37119,Mecklenburg,255830,117832
NC,37153,Richmond,7138,6786
NC,37155,Robeson,17419,12691
NC,37165,Scotland,5908,4463
NC,37179,Union,34126,51645
LA,22003,Allen,1434,4268
LA,22011,Beauregard,1626,8181
LA,22013,Bienville,2006,2803
LA,22015,Bossier,8084,24759
LA,22017,Caddo,33962,38651
LA,22027,Claiborne,1462,2746
LA,22031,DeSoto,3166,6843
LA,22039,Evangeline,2537,7072
LA,22069,Natchitoches,4109,6439
LA,22081,Red River,1110,1731
LA,22085,Sabine,1048,5334
LA,22111,Union,1709,5833
LA,22115,Vernon,1691,8443
LA,22119,Webster,3735,8360
MI,26005,Allegan,18080,28763
MI,26021,Berrien,26679,33033
MI,26027,Cass,6756,11824
MI,26077,Kalamazoo,63215,47312
MI,26149,St. Joseph,7206,11908
MI,26159,Van Buren,12572,15102
MN,27003,Anoka,74313,83304
MN,27053,Hennepin,424344,197380
MN,27123,Ramsey,170401,61803
CA,06025,Imperial,22112,11225
SC,45001,Abbeville,2943,5544
SC,45007,Anderson,18019,44144
SC,45037,Edgefield,3611,5702
SC,45045,Greenville,65446,104049
SC,45047,Greenwood,8641,14301
SC,45059,Laurens,6901,13278
SC,45065,McCormick,2057,2328
SC,45071,Newberry,4909,7956
SC,45073,Oconee,7316,19966
SC,45077,Pickens,9333,28814
SC,45081,Saluda,2163,4633
CA,06077,San Joaquin,105086,87498
FL,12057,Hillsborough,113143,120732
FL,12081,Manatee,67653,95137
FL,12115,Sarasota,94779,114565
PA,42005,Armstrong,7521,16760
PA,42021,Cambria,18579,30855
PA,42023,Cameron,527,1242
PA,42027,Centre,32635,27941
PA,42031,Clarion,3847,9958
PA,42033,Clearfield,7367,19476
PA,42047,Elk,3584,7712
PA,42053,Forest,564,1364
PA,42063,Indiana,11211,18053
PA,42065,Jefferson,3358,12214
PA,42083,McKean,3489,9064
PA,42121,Venango,5935,12544
PA,42123,Warren,4770,9660
GA,13015,Bartow,8310,28524
GA,13057,Cherokee,26980,78142
GA,13067,Cobb,165079,142952
GA,13121,Fulton,135131,93006
CA,06081,San Mateo,221148,61178
MI,26011,Arenac,2858,3307
MI,26017,Bay,24523,18577
MI,26049,Genesee,102509,55850
MI,26069,Iosco,5004,5794
MI,26157,Tuscola,7626,12914
FL,12033,Escambia,54734,73752
FL,12059,Holmes,787,5963
FL,12091,Okaloosa,23694,60222
FL,12113,Santa Rosa,19948,55526
FL,12131,Walton,7329,22861
OH,39003,Allen,11609,24551
OH,39011,Auglaize,3825,15487
OH,39021,Champaign,4229,10798
OH,39033,Crawford,4129,10334
OH,39043,Erie,16273,13974
OH,39091,Logan,4025,12562
OH,39101,Marion,6950,13509
OH,39107,Mercer,3019,13882
OH,39143,Sandusky,8757,13181
OH,39147,Seneca,6515,12041
OH,39149,Shelby,3713,14994
OH,39159,Union,7469,16183
NJ,34005,Burlington,111894,75032
NJ,34007,Camden,123528,54833
NJ,34015,Gloucester,60266,48754
LA,22005,Ascension,11676,26938
LA,22007,Assumption,2493,3223
LA,22033,East Baton Rouge,70476,75684
LA,22047,Iberville,6088,2723
LA,22057,Lafourche,5275,23739
LA,22063,Livingston,4463,36205
LA,22077,Pointe Coupee,2993,6479
LA,22089,St. Charles,7219,4569
LA,22095,St. John the Baptist,9029,2349
