maptype,stateID,state,district,district_dem_result,district_rep_result,district_winner
Dem,9,CT,4,163494.9521149557,109083.5790686889,D
Dem,9,CT,5,157594.6936305761,108070.5599493139,D
Dem,10,DE,At Large,227353.0,125384.0,D
Dem,12,FL,1,106188.25722843688,216188.0463034078,R
Dem,12,FL,2,186387.6390897379,130077.78844380098,D
Dem,12,FL,3,83626.17162411506,202178.1024806369,R
Dem,12,FL,4,117484.44004947571,221960.374194661,R
Dem,12,FL,5,140279.25050280744,134950.1744841669,D
Dem,12,FL,6,145976.43403768976,219777.34835528076,R
Dem,12,FL,7,125399.75826874943,95654.98824207205,D
Dem,12,FL,8,141717.77375203703,216019.51095539457,R
Dem,12,FL,9,137230.82792815487,107926.07912059996,D
Dem,12,FL,10,81711.33116372168,51045.89064394004,D
Dem,12,FL,11,142171.06475222626,238730.82782868337,R
Dem,12,FL,12,133270.3728559945,181074.50118784426,R
Dem,12,FL,13,158811.24382495822,111921.14044102986,D
Dem,12,FL,14,68114.2171332245,56990.27048255091,D
Dem,12,FL,15,106982.96386173579,142500.02184815632,R
Dem,12,FL,16,158210.19144180132,192243.79365946935,R
Dem,12,FL,17,103838.09778165727,162863.39117257745,R
Dem,12,FL,18,92810.84381284642,97801.77477334093,R
Dem,12,FL,19,126396.52126240604,245352.51260873946,R
Dem,12,FL,20,123116.31784255727,99821.26029761856,D
Dem,12,FL,21,54167.76126456544,59532.28117420971,R
Dem,12,FL,22,97856.33378034606,76559.20587101603,D
Dem,12,FL,23,112409.70555531251,80348.49015443352,D
Dem,12,FL,24,104290.95592351485,51098.53227230618,D
Dem,12,FL,25,83637.89975861204,93424.81801139828,R
Dem,12,FL,26,90136.34796839995,95458.76908719698,R
Dem,12,FL,27,82346.27753491566,93917.10590546789,R
Dem,13,GA,1,67206.66370584695,154486.45668816066,R
Dem,13,GA,2,116101.1255491905,84689.53157083303,D
Dem,13,GA,3,78656.9778502274,182814.077218635,R
Dem,13,GA,4,148868.2079053905,113178.42367036435,D
Dem,13,GA,5,117365.51792141658,114711.52411487889,D
Dem,13,GA,6,156606.43707919648,74666.43057889509,D
Dem,13,GA,7,165545.7378659886,81118.28531664405,D
Dem,13,GA,8,77676.97493188168,152863.85335958627,R
Dem,13,GA,9,67340.82953782138,244523.28177180872,R
Dem,13,GA,10,98623.22257824641,209830.90870668995,R
Dem,13,GA,11,156436.75978600935,106699.08382322623,D
Dem,13,GA,12,129645.95496301792,108964.19564388644,D
Dem,13,GA,13,148053.3882420191,88434.73941811798,D
Dem,13,GA,14,64533.05110341997,191421.99529859843,R
Dem,15,HI,1,150156.40703387925,23687.58585512718,D
Dem,15,HI,2,137578.59296612075,63608.41414487283,D
Dem,16,ID,1,135571.2661392626,183132.81728512136,R
Dem,16,ID,2,71741.73386073743,184308.18271487864,R
Dem,17,IL,1,125477.1245737256,54265.639009710874,D
Dem,17,IL,2,121114.50083204293,58372.931409573226,D
Dem,17,IL,3,133219.42619749118,56830.80444035685,D
Dem,17,IL,4,100944.31321141533,24609.670489283137,D
Dem,17,IL,5,161096.9123753224,68875.33747646832,D
Dem,17,IL,6,132168.54969503268,94120.34360706274,D
Dem,17,IL,7,171905.58544775145,19229.953129735724,D
Dem,17,IL,8,165688.88220822898,64285.15551946313,D
Dem,17,IL,9,185542.94096070097,55790.3772454812,D
Dem,17,IL,10,166189.95529638263,71517.25442130062,D
Dem,17,IL,11,143611.62597676183,92025.06303472069,D
Dem,17,IL,12,108015.20065531935,156931.3449175681,R
Dem,17,IL,13,142316.0115747985,126314.79420665758,D
Dem,17,IL,14,143114.21566956164,80115.28182032917,D
Dem,17,IL,15,76133.06907429808,172762.8711164668,R
Dem,17,IL,16,101345.72300453573,151809.15663841838,R
Dem,17,IL,17,137191.71890855982,99394.62574545947,D
Dem,17,IL,18,93992.2443380716,175938.39577194423,R
Dem,18,IN,1,153305.5657820684,93021.86964580847,D
Dem,18,IN,2,117963.4695482664,111705.17349817573,D
Dem,18,IN,3,77648.29237487921,163536.08525110735,R
Dem,18,IN,4,77392.48426447762,160196.12382725638,R
Dem,18,IN,5,102403.79303005392,184537.3747357221,R
Dem,18,IN,6,124055.29934742057,108256.01683912276,D
Dem,18,IN,7,133195.23225554833,94253.51047828257,D
Dem,18,IN,8,105479.10216169209,160999.95356568502,R
Dem,18,IN,9,86998.76123559341,160491.8921588397,R
Dem,19,IA,1,197315.01554823134,135096.67602455884,D
Dem,19,IA,2,179445.6813896053,131611.65847599166,D
Dem,19,IA,3,138506.7593981343,173566.76399012684,R
